ID,111
Краткое описание,"При нажатии на кнопку champagne/rose не открывается форма указания возрастного ограничения.
"
Проект,www.domperignon.com
Версия,Google Chrome v.105.0.5195.127;                                                                Windows 10(64)
Серьезность бага,S3
Приоритет,P2
Статус,Открыт
Автор,Троянов А.А.
Исполнитель,"Разработчик, который будет устранять баг."
Шаги к воспроизведению,"1.Перейти на сайт www.domperignon.com 2. Не проходя регистрацию/вход, перейти к выбору продуктов/алкоголя."
Ожидаемый результат,"Появление обязательной формы для заполнения(возрастное ограничение).
"
Фактический результат,"Возможно получить доступ к части продукции, без подтверждения возраста."
Дополнения,https://www.domperignon.com/ww-en/champagne/vintage/dom-perignon-rose/2008